id_cliente,nome,idade,sexo,cidade,uf,segmento,tempo_relacionamento,faixa_renda,tipo_conta,app_favorito,persona,faixa_renda_cod
1,henry gabriel alves,45,f,maceió,al,varejo,11,r$ 5.001 – r$ 10.000,corrente,ios,investidor,2
2,yan da cruz,42,f,codó,ma,varejo,17,até r$ 2.000,corrente,android,cliente tradicional,0
3,pietro carvalho,39,m,vitória da conquista,ba,varejo,5,r$ 2.001 – r$ 5.000,salário,ios,cliente tradicional,1
4,gustavo rocha,27,f,garanhuns,pe,personnalité,5,até r$ 2.000,corrente,android,jovem digital,0
5,zoe borges,22,m,iguatu,ce,varejo,2,até r$ 2.000,salário,android,jovem digital,0
6,lavínia andrade,38,f,campo grande,ms,varejo,7,até r$ 2.000,digital,ios,cliente tradicional,0
7,bento borges,41,f,águas lindas de goiás,go,varejo,2,r$ 5.001 – r$ 10.000,corrente,android,cliente tradicional,2
8,pedro henrique da conceição,34,m,caracaraí,rr,uniclass,5,r$ 2.001 – r$ 5.000,digital,android,investidor,1
9,mirella pereira,38,f,cariacica,es,varejo,10,r$ 5.001 – r$ 10.000,digital,android,investidor,2
10,benjamim novais,21,f,juazeiro,ba,varejo,0,r$ 10.001 – r$ 20.000,digital,android,jovem digital,3
11,miguel silva,46,f,marabá,pa,varejo,11,até r$ 2.000,digital,android,cliente tradicional,0
12,zoe leão,40,f,santos,sp,personnalité,4,até r$ 2.000,corrente,ios,cliente tradicional,0
13,pedro lucas machado,69,f,rio branco,ac,varejo,23,até r$ 2.000,corrente,ios,idoso,0
14,agatha abreu,37,m,contagem,mg,varejo,9,acima de r$ 20.000,digital,ios,investidor,4
15,liam sampaio,38,m,santarém,pa,uniclass,7,r$ 5.001 – r$ 10.000,corrente,android,cliente tradicional,2
16,lavínia fernandes,69,f,brasília,df,varejo,39,até r$ 2.000,corrente,android,idoso,0
17,agatha cassiano,40,f,juiz de fora,mg,varejo,5,até r$ 2.000,corrente,ios,cliente tradicional,0
18,pedro teixeira,76,f,joinville,sc,uniclass,13,até r$ 2.000,corrente,android,idoso,0
19,bárbara caldeira,44,f,ceilândia,df,personnalité,2,r$ 2.001 – r$ 5.000,corrente,ios,investidor,1
20,francisco garcia,36,m,uberlândia,mg,uniclass,8,r$ 10.001 – r$ 20.000,corrente,ios,investidor,3
21,gael fogaça,43,f,belo horizonte,mg,varejo,12,até r$ 2.000,corrente,android,cliente tradicional,0
22,catarina pereira,71,m,floriano,pi,varejo,20,até r$ 2.000,digital,android,idoso,0
23,vinícius aparecida,20,m,lauro de freitas,ba,varejo,0,r$ 2.001 – r$ 5.000,corrente,ios,jovem digital,1
24,maria clara nascimento,40,m,dourados,ms,uniclass,14,acima de r$ 20.000,corrente,android,investidor,4
25,josué garcia,24,f,mauá,sp,varejo,0,até r$ 2.000,corrente,android,jovem digital,0
26,emanuel novaes,24,f,betim,mg,varejo,2,r$ 2.001 – r$ 5.000,corrente,android,jovem digital,1
27,ana beatriz pires,37,f,governador valadares,mg,varejo,10,r$ 2.001 – r$ 5.000,corrente,android,cliente tradicional,1
28,eloá oliveira,44,m,ribeirão preto,sp,varejo,5,r$ 5.001 – r$ 10.000,salário,ios,cliente tradicional,2
29,matheus santos,39,f,novo hamburgo,rs,personnalité,8,r$ 10.001 – r$ 20.000,corrente,android,premium,3
30,davi miguel aparecida,41,m,corumbá,ms,varejo,5,r$ 2.001 – r$ 5.000,salário,android,cliente tradicional,1
31,rafael vargas,22,m,paulista,pe,uniclass,1,até r$ 2.000,digital,ios,jovem digital,0
