id_cliente,nome,idade,sexo,cidade,uf,segmento,tempo_relacionamento,faixa_renda,tipo_conta,app_favorito,persona
1,Henry Gabriel Alves,45,F,Maceió,AL,Varejo,11,R$ 5.001 – R$ 10.000,Corrente,iOS,Investidor
2,Yan da Cruz,42,F,Codó,MA,Varejo,17,Até R$ 2.000,Corrente,Android,Cliente Tradicional
3,Pietro Carvalho,39,M,Vitória da Conquista,BA,Varejo,5,R$ 2.001 – R$ 5.000,Salário,iOS,Cliente Tradicional
4,Gustavo Rocha,27,F,Garanhuns,PE,Personnalité,5,Até R$ 2.000,Corrente,Android,Jovem Digital
5,Zoe Borges,22,M,Iguatu,CE,Varejo,2,Até R$ 2.000,Salário,Android,Jovem Digital
6,Lavínia Andrade,38,F,Campo Grande,MS,Varejo,7,Até R$ 2.000,Digital,iOS,Cliente Tradicional
7,Bento Borges,41,F,Águas Lindas de Goiás,GO,Varejo,2,R$ 5.001 – R$ 10.000,Corrente,Android,Cliente Tradicional
8,Pedro Henrique da Conceição,34,M,Caracaraí,RR,Uniclass,5,R$ 2.001 – R$ 5.000,Digital,Android,Investidor
9,Mirella Pereira,38,F,Cariacica,ES,Varejo,10,R$ 5.001 – R$ 10.000,Digital,Android,Investidor
10,Benjamim Novais,21,F,Juazeiro,BA,Varejo,0,R$ 10.001 – R$ 20.000,Digital,Android,Jovem Digital
11,Miguel Silva,46,F,Marabá,PA,Varejo,11,Até R$ 2.000,Digital,Android,Cliente Tradicional
12,Zoe Leão,40,F,Santos,SP,Personnalité,4,Até R$ 2.000,Corrente,iOS,Cliente Tradicional
13,Pedro Lucas Machado,69,F,Rio Branco,AC,Varejo,23,Até R$ 2.000,Corrente,iOS,Idoso
14,Agatha Abreu,37,M,Contagem,MG,Varejo,9,Acima de R$ 20.000,Digital,iOS,Investidor
15,Liam Sampaio,38,M,Santarém,PA,Uniclass,7,R$ 5.001 – R$ 10.000,Corrente,Android,Cliente Tradicional
16,Lavínia Fernandes,69,F,Brasília,DF,Varejo,39,Até R$ 2.000,Corrente,Android,Idoso
17,Agatha Cassiano,40,F,Juiz de Fora,MG,Varejo,5,Até R$ 2.000,Corrente,iOS,Cliente Tradicional
18,Pedro Teixeira,76,F,Joinville,SC,Uniclass,13,Até R$ 2.000,Corrente,Android,Idoso
19,Bárbara Caldeira,44,F,Ceilândia,DF,Personnalité,2,R$ 2.001 – R$ 5.000,Corrente,iOS,Investidor
20,Francisco Garcia,36,M,Uberlândia,MG,Uniclass,8,R$ 10.001 – R$ 20.000,Corrente,iOS,Investidor
21,Gael Fogaça,43,F,Belo Horizonte,MG,Varejo,12,Até R$ 2.000,Corrente,Android,Cliente Tradicional
22,Catarina Pereira,71,M,Floriano,PI,Varejo,20,Até R$ 2.000,Digital,Android,Idoso
23,Vinícius Aparecida,20,M,Lauro de Freitas,BA,Varejo,0,R$ 2.001 – R$ 5.000,Corrente,iOS,Jovem Digital
24,Maria Clara Nascimento,40,M,Dourados,MS,Uniclass,14,Acima de R$ 20.000,Corrente,Android,Investidor
25,Josué Garcia,24,F,Mauá,SP,Varejo,0,Até R$ 2.000,Corrente,Android,Jovem Digital
26,Emanuel Novaes,24,F,Betim,MG,Varejo,2,R$ 2.001 – R$ 5.000,Corrente,Android,Jovem Digital
27,Ana Beatriz Pires,37,F,Governador Valadares,MG,Varejo,10,R$ 2.001 – R$ 5.000,Corrente,Android,Cliente Tradicional
28,Eloá Oliveira,44,M,Ribeirão Preto,SP,Varejo,5,R$ 5.001 – R$ 10.000,Salário,iOS,Cliente Tradicional
29,Matheus Santos,39,F,Novo Hamburgo,RS,Personnalité,8,R$ 10.001 – R$ 20.000,Corrente,Android,Premium
30,Davi Miguel Aparecida,41,M,Corumbá,MS,Varejo,5,R$ 2.001 – R$ 5.000,Salário,Android,Cliente Tradicional
31,Rafael Vargas,22,M,Paulista,PE,Uniclass,1,Até R$ 2.000,Digital,iOS,Jovem Digital
32,Amanda Barros,36,M,Maracanaú,CE,Varejo,4,R$ 5.001 – R$ 10.000,Corrente,Android,Cliente Tradicional
33,Ravi Lucca Brito,43,F,Ribeirão Preto,SP,Varejo,17,Até R$ 2.000,Corrente,iOS,Cliente Tradicional
34,Gabrielly da Mota,40,M,Ilhéus,BA,Varejo,13,R$ 2.001 – R$ 5.000,Corrente,Android,Cliente Tradicional
35,Maria Porto,44,F,Uberlândia,MG,Uniclass,8,Acima de R$ 20.000,Digital,Android,Investidor
36,Emanuella Castro,47,M,Jaboatão dos Guararapes,PE,Uniclass,21,R$ 5.001 – R$ 10.000,Corrente,iOS,Premium
37,Ester Fogaça,40,F,Osasco,SP,Varejo,16,R$ 5.001 – R$ 10.000,Corrente,Android,Cliente Tradicional
38,Otto Rios,60,M,Juazeiro,BA,Varejo,25,R$ 2.001 – R$ 5.000,Corrente,iOS,Idoso
39,Vitor Sampaio,40,F,Tangará da Serra,MT,Varejo,5,Até R$ 2.000,Salário,iOS,Cliente Tradicional
40,Diego Pereira,40,F,Guarulhos,SP,Varejo,2,Até R$ 2.000,Corrente,iOS,Cliente Tradicional
41,Luigi Nascimento,23,M,Caucaia,CE,Varejo,2,Até R$ 2.000,Digital,iOS,Jovem Digital
42,Samuel Castro,53,M,Guarulhos,SP,Uniclass,12,R$ 5.001 – R$ 10.000,Digital,Android,Premium
43,Maria Eduarda Garcia,68,M,Rio Verde,GO,Varejo,17,R$ 5.001 – R$ 10.000,Digital,Android,Idoso
44,Vitor Hugo Porto,77,M,Vila Velha,ES,Uniclass,5,Até R$ 2.000,Salário,Android,Idoso
45,Pedro Lucas Rodrigues,22,F,São Gonçalo,RJ,Varejo,2,R$ 2.001 – R$ 5.000,Digital,Android,Jovem Digital
46,Aylla Vargas,40,F,São Bernardo do Campo,SP,Personnalité,5,R$ 2.001 – R$ 5.000,Salário,Android,Cliente Tradicional
47,Daniel da Conceição,22,F,Bauru,SP,Varejo,1,Até R$ 2.000,Digital,Android,Jovem Digital
48,Benício Dias,23,F,Parnaíba,PI,Varejo,0,R$ 2.001 – R$ 5.000,Digital,iOS,Jovem Digital
49,Isadora da Mata,41,F,Timon,MA,Varejo,11,R$ 5.001 – R$ 10.000,Corrente,Android,Cliente Tradicional
50,Davi Lucca Cunha,40,M,Maracanaú,CE,Varejo,8,R$ 2.001 – R$ 5.000,Digital,Android,Cliente Tradicional
51,Ana Vitória Cunha,36,M,Betim,MG,Personnalité,6,R$ 10.001 – R$ 20.000,Corrente,Android,Investidor
52,Melina Gonçalves,70,F,Vila Velha,ES,Varejo,15,R$ 2.001 – R$ 5.000,Corrente,Android,Idoso
53,Maria Cecília Casa Grande,42,F,Montes Claros,MG,Varejo,12,R$ 10.001 – R$ 20.000,Digital,Android,Investidor
54,Vinícius Carvalho,28,F,Osasco,SP,Varejo,4,Até R$ 2.000,Corrente,Android,Jovem Digital
55,Thales Souza,73,M,Goiânia,GO,Varejo,24,R$ 5.001 – R$ 10.000,Corrente,Android,Idoso
56,Stephany da Luz,33,F,Brasília,DF,Varejo,6,R$ 10.001 – R$ 20.000,Digital,Android,Investidor
57,Liz Pacheco,40,F,Palmeira dos Índios,AL,Uniclass,5,R$ 5.001 – R$ 10.000,Salário,Android,Cliente Tradicional
58,Isabelly Fonseca,71,M,Montes Claros,MG,Varejo,26,R$ 10.001 – R$ 20.000,Digital,Android,Idoso
59,Pedro Lucas Carvalho,42,M,Uberaba,MG,Uniclass,5,R$ 10.001 – R$ 20.000,Corrente,Android,Investidor
60,Nicole Monteiro,78,M,Vitória da Conquista,BA,Varejo,35,Até R$ 2.000,Corrente,Android,Idoso
61,Fernando Sá,43,F,Luziânia,GO,Varejo,7,Até R$ 2.000,Corrente,iOS,Cliente Tradicional
62,Calebe Camargo,45,F,Juazeiro,BA,Varejo,5,R$ 2.001 – R$ 5.000,Salário,iOS,Cliente Tradicional
63,Leandro Pires,45,M,Petrópolis,RJ,Uniclass,22,Acima de R$ 20.000,Corrente,Android,Investidor
64,Liam Vieira,38,F,Osasco,SP,Uniclass,6,R$ 2.001 – R$ 5.000,Corrente,Android,Investidor
65,Lavínia Peixoto,40,M,Uberaba,MG,Varejo,7,Até R$ 2.000,Corrente,iOS,Cliente Tradicional
66,Davi Lucas Gomes,20,F,Uberlândia,MG,Varejo,0,R$ 5.001 – R$ 10.000,Digital,iOS,Jovem Digital
67,Giovanna Peixoto,36,M,Porto Velho,RO,Varejo,5,Até R$ 2.000,Salário,Android,Cliente Tradicional
68,Maria Helena Moura,38,M,Luziânia,GO,Personnalité,14,R$ 2.001 – R$ 5.000,Corrente,Android,Investidor
69,Theodoro Novaes,40,F,Imperatriz,MA,Personnalité,8,R$ 5.001 – R$ 10.000,Corrente,iOS,Premium
70,Antônio Rodrigues,49,F,Juazeiro,BA,Uniclass,7,R$ 2.001 – R$ 5.000,Corrente,iOS,Premium
71,Ian Rodrigues,24,M,Goiânia,GO,Varejo,4,R$ 5.001 – R$ 10.000,Corrente,iOS,Jovem Digital
72,Stella Sá,64,M,Fortaleza,CE,Varejo,22,Até R$ 2.000,Corrente,Android,Idoso
73,Vitor Vargas,73,F,Caxias,MA,Uniclass,5,Até R$ 2.000,Salário,Android,Idoso
74,Carolina Camargo,21,F,Novo Hamburgo,RS,Varejo,0,R$ 2.001 – R$ 5.000,Digital,iOS,Jovem Digital
75,Ana Beatriz Lopes,45,F,Governador Valadares,MG,Varejo,13,R$ 10.001 – R$ 20.000,Digital,Android,Investidor
76,Levi Marques,41,M,Nova Iguaçu,RJ,Varejo,11,R$ 2.001 – R$ 5.000,Corrente,Android,Cliente Tradicional
77,André Silveira,37,F,Osasco,SP,Uniclass,9,R$ 5.001 – R$ 10.000,Corrente,Android,Cliente Tradicional
78,Vinicius Montenegro,41,F,Ribeirão Preto,SP,Varejo,7,R$ 5.001 – R$ 10.000,Digital,Android,Cliente Tradicional
79,Luiz Henrique Montenegro,47,M,Lagarto,SE,Varejo,15,R$ 5.001 – R$ 10.000,Corrente,Android,Cliente Tradicional
80,Heitor Pires,35,M,Itajaí,SC,Varejo,9,R$ 2.001 – R$ 5.000,Corrente,iOS,Cliente Tradicional
81,Ana Cecília Porto,38,F,Recife,PE,Varejo,11,R$ 10.001 – R$ 20.000,Corrente,iOS,Investidor
82,Natália Pereira,78,M,São Paulo,SP,Varejo,18,R$ 2.001 – R$ 5.000,Corrente,Android,Idoso
83,Miguel Cassiano,44,F,Petrolina,PE,Varejo,5,Até R$ 2.000,Salário,Android,Cliente Tradicional
84,Evelyn Teixeira,43,M,Sorocaba,SP,Varejo,19,R$ 10.001 – R$ 20.000,Corrente,iOS,Cliente Tradicional
85,Lorenzo Nogueira,23,M,Aracaju,SE,Varejo,1,Até R$ 2.000,Corrente,iOS,Jovem Digital
86,Sofia Abreu,37,M,Santarém,PA,Varejo,5,R$ 2.001 – R$ 5.000,Digital,iOS,Cliente Tradicional
87,Ayla Mendonça,72,F,Araguaína,TO,Personnalité,27,R$ 2.001 – R$ 5.000,Corrente,Android,Idoso
88,Arthur Miguel Camargo,41,M,Juazeiro,BA,Varejo,13,Até R$ 2.000,Corrente,Android,Cliente Tradicional
89,Eloá das Neves,40,M,Anápolis,GO,Varejo,15,Até R$ 2.000,Digital,iOS,Cliente Tradicional
90,Rhavi Araújo,71,F,Juazeiro do Norte,CE,Varejo,5,R$ 5.001 – R$ 10.000,Salário,Android,Idoso
91,Rodrigo Nunes,75,F,Uberlândia,MG,Varejo,16,Até R$ 2.000,Corrente,iOS,Idoso
92,Emanuel Barros,36,M,Petrolina,PE,Varejo,9,R$ 2.001 – R$ 5.000,Corrente,Android,Cliente Tradicional
93,Maria Vitória Azevedo,41,F,Recife,PE,Uniclass,13,Até R$ 2.000,Corrente,iOS,Investidor
94,Sophia Vargas,47,M,Juazeiro do Norte,CE,Personnalité,12,R$ 5.001 – R$ 10.000,Corrente,iOS,Premium
95,José Cardoso,21,M,Petrópolis,RJ,Varejo,0,R$ 2.001 – R$ 5.000,Digital,Android,Jovem Digital
96,Maria Laura Novaes,22,M,Florianópolis,SC,Varejo,2,R$ 2.001 – R$ 5.000,Digital,iOS,Jovem Digital
97,Lucas da Luz,41,F,Caracaraí,RR,Varejo,5,R$ 2.001 – R$ 5.000,Salário,Android,Cliente Tradicional
98,Sarah Pereira,73,M,Salvador,BA,Varejo,28,Até R$ 2.000,Corrente,Android,Idoso
99,Lavínia Cunha,21,M,Laranjal do Jari,AP,Varejo,1,R$ 5.001 – R$ 10.000,Digital,iOS,Jovem Digital
100,Valentina Sá,72,M,Cuiabá,MT,Varejo,13,R$ 2.001 – R$ 5.000,Corrente,Android,Idoso
101,Murilo Silva,41,M,Governador Valadares,MG,Varejo,12,R$ 5.001 – R$ 10.000,Corrente,iOS,Cliente Tradicional
102,Ana Lívia Guerra,51,M,Natal,RN,Uniclass,21,R$ 10.001 – R$ 20.000,Corrente,iOS,Premium
103,Evelyn Macedo,20,F,Montes Claros,MG,Uniclass,0,R$ 2.001 – R$ 5.000,Salário,Android,Jovem Digital
104,Pietra Machado,75,M,Campos dos Goytacazes,RJ,Varejo,5,R$ 5.001 – R$ 10.000,Salário,Android,Idoso
105,Isaque da Cruz,42,F,Betim,MG,Varejo,24,R$ 2.001 – R$ 5.000,Corrente,iOS,Cliente Tradicional
106,Rael Azevedo,25,F,Parintins,AM,Varejo,4,R$ 2.001 – R$ 5.000,Digital,Android,Jovem Digital
107,Camila Almeida,44,F,Ilhéus,BA,Varejo,14,R$ 2.001 – R$ 5.000,Digital,iOS,Cliente Tradicional
108,Raul Pastor,43,M,Santa Rita,PB,Varejo,14,R$ 5.001 – R$ 10.000,Digital,iOS,Premium
109,Pedro Lucas Abreu,37,F,Nova Iguaçu,RJ,Varejo,5,R$ 5.001 – R$ 10.000,Salário,iOS,Cliente Tradicional
110,Diego Santos,38,M,Anápolis,GO,Uniclass,9,R$ 2.001 – R$ 5.000,Corrente,Android,Cliente Tradicional
111,Dante da Conceição,58,F,Juazeiro,BA,Personnalité,4,R$ 10.001 – R$ 20.000,Corrente,iOS,Premium
112,Davi Luiz Andrade,43,M,Betim,MG,Varejo,3,R$ 2.001 – R$ 5.000,Corrente,Android,Cliente Tradicional
113,Bianca Barbosa,38,F,Contagem,MG,Varejo,12,Até R$ 2.000,Corrente,iOS,Cliente Tradicional
114,Olívia da Costa,24,M,Contagem,MG,Varejo,1,R$ 2.001 – R$ 5.000,Digital,iOS,Jovem Digital
115,Agatha Rios,22,F,Vitória da Conquista,BA,Uniclass,2,Acima de R$ 20.000,Digital,iOS,Jovem Digital
116,Maria Vitória Cunha,22,F,Lagarto,SE,Varejo,2,R$ 2.001 – R$ 5.000,Corrente,iOS,Jovem Digital
117,Valentina Cardoso,24,F,Laranjal do Jari,AP,Uniclass,1,R$ 2.001 – R$ 5.000,Corrente,iOS,Jovem Digital
118,Maria Júlia da Cruz,53,F,Juiz de Fora,MG,Uniclass,19,Acima de R$ 20.000,Digital,Android,Investidor
119,Maria Júlia Jesus,32,F,Belém,PA,Varejo,6,R$ 5.001 – R$ 10.000,Digital,iOS,Cliente Tradicional
120,Mateus Brito,37,M,Joinville,SC,Varejo,11,R$ 2.001 – R$ 5.000,Digital,Android,Cliente Tradicional
121,Gael Ribeiro,22,M,Sorocaba,SP,Uniclass,1,R$ 5.001 – R$ 10.000,Digital,Android,Jovem Digital
122,Lorena Fogaça,48,M,Joinville,SC,Uniclass,18,Acima de R$ 20.000,Digital,iOS,Premium
123,Lavínia Jesus,66,M,Vitória,ES,Varejo,5,Acima de R$ 20.000,Salário,iOS,Idoso
124,Maria Helena Siqueira,22,M,Juazeiro do Norte,CE,Varejo,1,R$ 2.001 – R$ 5.000,Digital,Android,Jovem Digital
125,Cauê Rocha,28,F,Uberlândia,MG,Varejo,5,Até R$ 2.000,Digital,iOS,Jovem Digital
126,Gael Henrique Araújo,36,M,Sorocaba,SP,Uniclass,11,R$ 10.001 – R$ 20.000,Digital,Android,Investidor
127,Isis Siqueira,29,F,Luziânia,GO,Varejo,6,R$ 2.001 – R$ 5.000,Digital,Android,Jovem Digital
128,Camila Caldeira,34,M,Vitória da Conquista,BA,Varejo,5,Até R$ 2.000,Corrente,Android,Cliente Tradicional
129,Theo Correia,27,M,Luziânia,GO,Varejo,2,R$ 2.001 – R$ 5.000,Salário,iOS,Jovem Digital
130,Mateus Nascimento,47,F,Manaus,AM,Personnalité,17,R$ 2.001 – R$ 5.000,Corrente,iOS,Premium
131,Manuela Carvalho,38,M,Bauru,SP,Uniclass,8,R$ 5.001 – R$ 10.000,Corrente,iOS,Investidor
132,Lavínia Cirino,18,M,Bayeux,PB,Uniclass,0,R$ 2.001 – R$ 5.000,Digital,iOS,Jovem Digital
